Frame         Time          Bond          Angle         Dihed         Impr          Elec          VdW           Conf          Nonbond       Total         
0             0             +226.506      +637.119      +292.521      +29.1688      -1738.71      -300.707      +1185.31      -2039.42      -854.108      
1             1             +234.968      +654.911      +310.901      +31.9302      -1709.49      -285.649      +1232.71      -1995.14      -762.427      
2             2             +234.863      +676.865      +310.778      +45.9463      -1734.48      -309.193      +1268.45      -2043.67      -775.216      
3             3             +227.218      +676.622      +307.277      +39.5209      -1687.78      -317.059      +1250.64      -2004.84      -754.206      
4             4             +235.893      +655.958      +307.244      +40.4642      -1686.5       -304.576      +1239.56      -1991.07      -751.514      
5             5             +222.334      +672.812      +323.781      +40.6837      -1664.91      -301.853      +1259.61      -1966.77      -707.156      
6             6             +220.182      +695.527      +300.705      +36.6105      -1631.26      -268.299      +1253.03      -1899.56      -646.536      
7             7             +222.185      +688.828      +302.18       +36.751       -1669.47      -296.71       +1249.94      -1966.18      -716.239      
8             8             +240.713      +681.93       +298.625      +42.4456      -1674.49      -292.714      +1263.71      -1967.2       -703.487      
9             9             +224.798      +685.073      +292.077      +41.2529      -1622.12      -300.08       +1243.2       -1922.2       -678.995      
10            10            +264.553      +708.914      +290.784      +35.2153      -1713.74      -317.788      +1299.47      -2031.53      -732.062      
11            11            +211.506      +694.184      +306.418      +41.0709      -1679.67      -320.025      +1253.18      -1999.7       -746.517      
12            12            +209.839      +696.703      +309.168      +40.1315      -1674.16      -286.008      +1255.84      -1960.17      -704.33       
13            13            +224.28       +695.276      +303.231      +42.0949      -1690.89      -314.588      +1264.88      -2005.48      -740.597      
14            14            +216.92       +659.524      +317.889      +39.1204      -1686.1       -278.517      +1233.45      -1964.62      -731.164      
15            15            +223.339      +665.352      +298.523      +43.6926      -1631.6       -287.156      +1230.91      -1918.75      -687.846      
16            16            +238.598      +651.721      +281.851      +37.3961      -1581.6       -288.827      +1209.57      -1870.43      -660.86       
17            17            +250.494      +682.141      +298.51       +39.0673      -1660.41      -297.039      +1270.21      -1957.45      -687.236      
18            18            +208.071      +675.721      +284.723      +38.0578      -1644.54      -300.342      +1206.57      -1944.88      -738.31       
19            19            +253.779      +677.411      +298.027      +37.8733      -1640.61      -291.478      +1267.09      -1932.09      -665.001      
20            20            +241.65       +698.076      +274.677      +40.7047      -1670.81      -307.564      +1255.11      -1978.37      -723.263      
21            21            +238.895      +703.798      +304.441      +32.5183      -1649.77      -292.614      +1279.65      -1942.38      -662.73       
22            22            +222.042      +684.528      +280.247      +40.4897      -1706.08      -293.793      +1227.31      -1999.87      -772.563      
23            23            +250.673      +689.809      +296.204      +44.2605      -1701.21      -282.994      +1280.95      -1984.2       -703.258      
24            24            +213.035      +654.014      +291.902      +38.0864      -1646.58      -292.873      +1197.04      -1939.46      -742.418      
25            25            +230.452      +672.297      +287.242      +41.5996      -1629.83      -312.215      +1231.59      -1942.04      -710.451      
26            26            +228.5        +709.206      +298.646      +42.2722      -1683.09      -291.26       +1278.62      -1974.35      -695.729      
27            27            +227.609      +660.794      +306.66       +44.9597      -1646.74      -298.042      +1240.02      -1944.78      -704.758      
28            28            +228.434      +681.71       +292.925      +35.7718      -1694.22      -294.763      +1238.84      -1988.98      -750.136      
29            29            +226.843      +720.239      +298.296      +43.3123      -1662.76      -319.911      +1288.69      -1982.67      -693.983      
30            30            +236.726      +692.549      +299.261      +32.7808      -1649.84      -288.789      +1261.32      -1938.63      -677.309      
31            31            +205.514      +712.664      +295.263      +39.0444      -1631.53      -308.976      +1252.49      -1940.51      -688.023      
32            32            +247.895      +672.921      +324.818      +46.8534      -1613.84      -327.078      +1292.49      -1940.92      -648.431      
33            33            +222.852      +671.523      +305.859      +37.6307      -1635.78      -286.079      +1237.86      -1921.86      -683.998      
34            34            +232.701      +675.38       +306.071      +38.5434      -1619.76      -294.39       +1252.7       -1914.15      -661.456      
35            35            +227.76       +709.997      +292.479      +44.9192      -1698.1       -278.695      +1275.15      -1976.79      -701.637      
36            36            +216.149      +691.023      +280.154      +39.1506      -1629.44      -303.882      +1226.48      -1933.32      -706.845      
37            37            +220.602      +671.398      +290.694      +43.0628      -1689.14      -292.835      +1225.76      -1981.97      -756.215      
38            38            +250.84       +665.273      +295.829      +34.1413      -1697.96      -309.086      +1246.08      -2007.05      -760.964      
39            39            +207.182      +679.69       +291.983      +36.9314      -1687.88      -305.616      +1215.79      -1993.49      -777.708      
40            40            +229.645      +691.192      +292.41       +38.1355      -1706.6       -277.303      +1251.38      -1983.9       -732.519      
41            41            +232.589      +673.274      +282.212      +33.7362      -1710.81      -288.326      +1221.81      -1999.13      -777.322      
42            42            +232.619      +697.232      +301.363      +39.4109      -1661.55      -296.769      +1270.63      -1958.32      -687.694      
43            43            +235.896      +685.69       +298.322      +37.6956      -1690.85      -289.782      +1257.6       -1980.63      -723.03       
44            44            +218.206      +680.73       +300.837      +40.891       -1616.23      -292.248      +1240.66      -1908.48      -667.817      
45            45            +228.276      +632.752      +302.877      +37.601       -1588.07      -290.123      +1201.51      -1878.19      -676.687      
46            46            +239.067      +720.191      +294.807      +41.4595      -1661.64      -284.236      +1295.52      -1945.88      -650.353      
47            47            +232.95       +660.258      +296.881      +47.3375      -1564.64      -299.15       +1237.43      -1863.79      -626.364      
48            48            +220.294      +689.003      +311.308      +36.9501      -1642.37      -297.528      +1257.56      -1939.9       -682.345      
49            49            +217.79       +699.111      +291.997      +36.6205      -1634.81      -305.986      +1245.52      -1940.79      -695.275      
50            50            +222.308      +716.347      +286.105      +36.7299      -1658.84      -304.594      +1261.49      -1963.43      -701.944      
51            51            +235.482      +706.413      +283.301      +32.0285      -1633.79      -277.656      +1257.22      -1911.44      -654.217      
52            52            +224.308      +650.818      +299.357      +38.3565      -1634.48      -320.707      +1212.84      -1955.19      -742.351      
53            53            +246.426      +685.734      +294.369      +34.8113      -1645.72      -304.593      +1261.34      -1950.31      -688.971      
54            54            +221.033      +671.995      +298.699      +39.1648      -1627.66      -300.183      +1230.89      -1927.84      -696.95       
55            55            +222.173      +670.893      +300.632      +37.587       -1678.65      -324.633      +1231.28      -2003.29      -772.001      
56            56            +239.13       +714.622      +298.936      +39.8644      -1646.92      -303.592      +1292.55      -1950.51      -657.959      
57            57            +234.153      +720.31       +304.953      +38.0015      -1638.98      -306.264      +1297.42      -1945.24      -647.825      
58            58            +218.87       +642.083      +316.348      +32.8743      -1616.85      -293.923      +1210.18      -1910.77      -700.598      
59            59            +242.711      +691.121      +283.024      +39.8494      -1637.67      -300.844      +1256.71      -1938.51      -681.804      
60            60            +244.789      +690.597      +288.711      +39.892       -1606.51      -290.88       +1263.99      -1897.39      -633.4        
61            61            +227.323      +701.556      +291.194      +44.5622      -1594.82      -299.649      +1264.63      -1894.47      -629.836      
62            62            +233.178      +677.928      +294.837      +41.561       -1587.84      -311.594      +1247.5       -1899.43      -651.928      
63            63            +218.764      +696.223      +294.432      +36.8726      -1711.5       -290.087      +1246.29      -2001.59      -755.297      
64            64            +237.926      +688.652      +278.272      +35.332       -1659.81      -291.524      +1240.18      -1951.33      -711.152      
65            65            +220.769      +676.341      +297.864      +35.3117      -1611.29      -300.979      +1230.28      -1912.27      -681.986      
66            66            +241.995      +673.818      +272.015      +35.7594      -1600.25      -314.323      +1223.59      -1914.57      -690.981      
67            67            +252.837      +702.514      +282.412      +37.8662      -1618.71      -305.668      +1275.63      -1924.38      -648.75       
68            68            +219.038      +683.095      +279.862      +41.8819      -1641.78      -272.156      +1223.88      -1913.94      -690.064      
69            69            +238.891      +684.475      +311.394      +39.7819      -1612.6       -317.85       +1274.54      -1930.45      -655.909      
70            70            +251.882      +676.261      +287.104      +39.1856      -1602.25      -306.089      +1254.43      -1908.34      -653.909      
71            71            +224.336      +672.756      +293.842      +31.2347      -1607.88      -302.259      +1222.17      -1910.14      -687.972      
72            72            +260.655      +675.622      +281.275      +41.8702      -1581.24      -303.978      +1259.42      -1885.22      -625.797      
73            73            +216.991      +694.373      +274.151      +40.1484      -1629.19      -290.927      +1225.66      -1920.12      -694.455      
74            74            +209.853      +637.922      +278.348      +35.0685      -1652.87      -264.275      +1161.19      -1917.15      -755.957      
75            75            +217.247      +670.975      +280.502      +33.4976      -1625.8       -288.736      +1202.22      -1914.54      -712.313      
76            76            +217.222      +691.255      +306.494      +41.9734      -1585.46      -304.985      +1256.95      -1890.45      -633.505      
77            77            +218.077      +723.805      +289.01       +43.6043      -1618.33      -289.058      +1274.5       -1907.38      -632.887      
78            78            +201.89       +686.341      +294.818      +36.2393      -1644.53      -284.722      +1219.29      -1929.25      -709.964      
79            79            +232.906      +706.627      +279.725      +44.5892      -1637.14      -310.463      +1263.85      -1947.6       -683.757      
80            80            +245.713      +677.584      +293.286      +45.9586      -1641.38      -291.405      +1262.54      -1932.78      -670.239      
81            81            +222.112      +661.344      +296.812      +37.0779      -1619.12      -289.129      +1217.35      -1908.25      -690.907      
82            82            +233.864      +656.246      +282.627      +37.9252      -1692.98      -293.833      +1210.66      -1986.82      -776.155      
83            83            +232.322      +711.793      +312.672      +35.6905      -1693.6       -291.703      +1292.48      -1985.3       -692.827      
84            84            +248.715      +693.047      +305.282      +38.8224      -1670.36      -306.596      +1285.87      -1976.96      -691.094      
85            85            +217.042      +670.539      +306.668      +33.2095      -1649.08      -296.067      +1227.46      -1945.15      -717.692      
86            86            +219.251      +671.953      +292.753      +41.0602      -1648.67      -301.128      +1225.02      -1949.8       -724.782      
87            87            +244.27       +679.526      +302.948      +36.7288      -1649.07      -315.853      +1263.47      -1964.92      -701.451      
88            88            +233.81       +669.9        +304.261      +50.3419      -1648.71      -315.643      +1258.31      -1964.35      -706.039      
89            89            +235.848      +733.872      +308.643      +42.7924      -1700.48      -278.061      +1321.16      -1978.54      -657.384      
90            90            +240.806      +714.868      +302.349      +40.6329      -1696.32      -300.1        +1298.66      -1996.42      -697.767      
91            91            +232.293      +708.966      +282.627      +36.1185      -1615.92      -322.725      +1260         -1938.64      -678.637      
92            92            +206.278      +699.234      +283.588      +34.695       -1704.44      -269.576      +1223.8       -1974.02      -750.221      
93            93            +218.785      +661.537      +286.449      +37.8262      -1707.9       -300.5        +1204.6       -2008.4       -803.799      
94            94            +242.139      +672.107      +291.594      +33.785       -1724         -296.025      +1239.62      -2020.03      -780.403      
95            95            +232.17       +684.055      +282.905      +45.4459      -1696.4       -278.091      +1244.58      -1974.49      -729.916      
96            96            +234.09       +672.445      +293.71       +37.5152      -1667.1       -302.315      +1237.76      -1969.41      -731.653      
97            97            +229.029      +692.724      +297.542      +44.6734      -1703.99      -310.246      +1263.97      -2014.23      -750.265      
98            98            +243.647      +704.059      +296.235      +32.9804      -1682.89      -294.944      +1276.92      -1977.83      -700.911      
99            99            +246.94       +689.617      +275.464      +33.3254      -1690.28      -294.178      +1245.35      -1984.46      -739.109      
100           100           +249.032      +663.346      +294.891      +40.5728      -1608.17      -315.452      +1247.84      -1923.62      -675.779      
101           101           +225.225      +663.5        +286.077      +38.6951      -1693.97      -286.834      +1213.5       -1980.81      -767.31       
102           102           +227.818      +688.326      +299.796      +41.2322      -1637.18      -286.096      +1257.17      -1923.28      -666.109      
103           103           +219.082      +677.653      +302.599      +41.0157      -1653.37      -307.536      +1240.35      -1960.91      -720.558      
104           104           +218.818      +701.421      +282.961      +49.8017      -1683.69      -293.21       +1253         -1976.9       -723.901      
105           105           +231.75       +666.163      +301.045      +37.8235      -1633.16      -290.194      +1236.78      -1923.35      -686.568      
106           106           +214.153      +663.02       +295.373      +41.7132      -1616.8       -290.304      +1214.26      -1907.11      -692.848      
107           107           +229.906      +701.9        +296.935      +40.2264      -1620.76      -302.355      +1268.97      -1923.12      -654.152      
108           108           +235.506      +685.581      +290.066      +46.1677      -1637.38      -300.374      +1257.32      -1937.75      -680.429      
109           109           +209.634      +675.787      +308.222      +44.0173      -1620.07      -289.952      +1237.66      -1910.02      -672.364      
110           110           +209.252      +646.998      +297.022      +39.8296      -1586.11      -299.349      +1193.1       -1885.46      -692.355      
111           111           +235.054      +693.239      +302.636      +36.3901      -1688.68      -282.148      +1267.32      -1970.83      -703.513      
112           112           +240.679      +706.966      +287.407      +44.208       -1666.94      -297.8        +1279.26      -1964.74      -685.481      
113           113           +235.453      +669.064      +286.867      +41.4895      -1680.59      -276.35       +1232.87      -1956.94      -724.068      
114           114           +225.864      +662.231      +298.38       +43.4726      -1651.92      -296.468      +1229.95      -1948.39      -718.442      
115           115           +254.185      +696.91       +309.948      +47.2097      -1655.42      -305.082      +1308.25      -1960.5       -652.25       
116           116           +218.412      +691.525      +299.048      +45.6584      -1630.44      -288.704      +1254.64      -1919.15      -664.503      
117           117           +210.934      +698.674      +333.224      +33.2278      -1598.92      -307.25       +1276.06      -1906.17      -630.114      
118           118           +240.979      +652.646      +293.048      +41.6822      -1558.45      -287.284      +1228.35      -1845.73      -617.377      
119           119           +229.214      +684.56       +302.944      +35.2541      -1655.85      -288.27       +1251.97      -1944.12      -692.146      
120           120           +213.406      +669.669      +306.912      +38.5847      -1655.8       -299.455      +1228.57      -1955.25      -726.679      
121           121           +213.979      +669.952      +298.185      +43.3854      -1643.1       -278.404      +1225.5       -1921.5       -696.001      
122           122           +222.53       +681.357      +305.025      +37.0865      -1678.86      -277.818      +1246         -1956.68      -710.679      
123           123           +226.136      +703.109      +289.058      +35.2643      -1646.45      -294.653      +1253.57      -1941.1       -687.536      
124           124           +210.809      +686.138      +305.581      +50.1494      -1725.11      -280.494      +1252.68      -2005.6       -752.927      
125           125           +230.873      +674.744      +301.628      +40.7713      -1647.67      -311.096      +1248.02      -1958.77      -710.75       
126           126           +230.1        +666.986      +287.23       +35.8428      -1602.67      -292.873      +1220.16      -1895.54      -675.381      
127           127           +243.904      +682.905      +293.269      +36.1598      -1575.43      -310.261      +1256.24      -1885.69      -629.454      
128           128           +263.799      +671.184      +287.652      +42.4487      -1629.89      -298.154      +1265.08      -1928.05      -662.964      
129           129           +220.375      +689.992      +317.433      +45.0955      -1566.03      -285.044      +1272.9       -1851.08      -578.181      
130           130           +237.772      +686.803      +283.072      +34.752       -1564.76      -301.716      +1242.4       -1866.48      -624.08       
131           131           +224.666      +655.684      +299.375      +45.0479      -1638.7       -281.545      +1224.77      -1920.25      -695.478      
132           132           +232.008      +671.922      +285.745      +32.8871      -1721.16      -284.372      +1222.56      -2005.53      -782.966      
133           133           +243.014      +691.513      +291.642      +44.5072      -1646.82      -317.789      +1270.68      -1964.61      -693.929      
134           134           +216.111      +694.178      +312.796      +38.3225      -1715.52      -294.11       +1261.41      -2009.63      -748.224      
