Frame         Time          Bond          Angle         Dihed         Impr          Elec          VdW           Conf          Nonbond       Total         
0             0             +268.733      +774.929      +333.875      +50.4446      -1741.51      -283.059      +1427.98      -2024.57      -596.59       
1             1             +253.954      +818.206      +347.916      +45.8489      -1721.66      -272.116      +1465.93      -1993.78      -527.854      
2             2             +286.206      +852.641      +322.103      +52.8575      -1696.69      -293.771      +1513.81      -1990.46      -476.65       
3             3             +287.211      +801.267      +337.764      +44.694       -1721.69      -268.35       +1470.94      -1990.04      -519.106      
4             4             +259.541      +831.192      +325.171      +48.3251      -1782.76      -265.202      +1464.23      -2047.97      -583.738      
5             5             +276.829      +883.834      +352.181      +52.9021      -1757.17      -252.589      +1565.75      -2009.76      -444.016      
6             6             +288.605      +858.565      +308.762      +53.8425      -1808.12      -269.957      +1509.78      -2078.08      -568.305      
7             7             +267.096      +888.615      +342.635      +51.0112      -1778.18      -285.626      +1549.36      -2063.81      -514.452      
8             8             +303.489      +865.242      +342.131      +54.827       -1755.64      -240.608      +1565.69      -1996.25      -430.556      
9             9             +291.61       +848.511      +333.233      +43.682       -1745.17      -260.251      +1517.04      -2005.42      -488.383      
10            10            +320.742      +827.583      +333.213      +41.5945      -1757.33      -264.915      +1523.13      -2022.24      -499.108      
11            11            +273.219      +812.189      +335.039      +53.3089      -1788.58      -266.87       +1473.76      -2055.45      -581.695      
12            12            +322.387      +876.931      +322.339      +50.8315      -1759.76      -262.737      +1572.49      -2022.49      -450.005      
13            13            +286.539      +836.43       +320.339      +50.8288      -1765.1       -265.655      +1494.14      -2030.76      -536.622      
14            14            +291.505      +828.414      +333.856      +47.5849      -1724.13      -281.805      +1501.36      -2005.94      -504.578      
15            15            +260.823      +850.495      +339.185      +59.5237      -1720.5       -262.818      +1510.03      -1983.32      -473.292      
16            16            +287.036      +850.538      +337.744      +50.2829      -1756.93      -253.401      +1525.6       -2010.33      -484.729      
17            17            +287.362      +857.087      +339.916      +58.4204      -1693.92      -264.356      +1542.78      -1958.27      -415.488      
18            18            +285.552      +848.192      +344.178      +57.8155      -1722.29      -261.633      +1535.74      -1983.93      -448.19       
19            19            +286.286      +854.613      +316.238      +52.6848      -1685.89      -249.358      +1509.82      -1935.25      -425.428      
20            20            +290.177      +827.445      +342.255      +47.6937      -1697.49      -273.974      +1507.57      -1971.47      -463.896      
21            21            +297.946      +889.107      +319.695      +53.6543      -1697.14      -259.521      +1560.4       -1956.66      -396.256      
22            22            +296.362      +865.307      +329.207      +59.956       -1674.07      -259.072      +1550.83      -1933.14      -382.309      
23            23            +269.703      +852.709      +347.716      +41.6777      -1700         -267.95       +1511.81      -1967.95      -456.141      
24            24            +264.476      +842.247      +343.56       +52.7706      -1720.73      -251.527      +1503.05      -1972.26      -469.202      
25            25            +284.112      +796.371      +330.729      +43.9504      -1725.08      -243.892      +1455.16      -1968.97      -513.81       
26            26            +274.657      +839.626      +346.467      +51.8861      -1670.98      -252.335      +1512.64      -1923.31      -410.673      
27            27            +290.695      +856.898      +339.259      +55.222       -1636.48      -261.526      +1542.07      -1898.01      -355.933      
28            28            +276.332      +860.996      +322.411      +46.7859      -1627.67      -276.438      +1506.52      -1904.11      -397.585      
29            29            +288.311      +820.698      +352.866      +51.9693      -1651.42      -252.539      +1513.84      -1903.96      -390.113      
30            30            +273.954      +831.25       +325.678      +46.7616      -1709.72      -258.24       +1477.64      -1967.96      -490.318      
31            31            +282.965      +828.345      +359.087      +47.6097      -1692.97      -271.812      +1518.01      -1964.79      -446.78       
32            32            +295.088      +848.319      +331.291      +52.8505      -1719.4       -257.204      +1527.55      -1976.6       -449.053      
33            33            +304.226      +864.531      +327.235      +64.5886      -1758.66      -279.368      +1560.58      -2038.03      -477.448      
34            34            +286.827      +858.474      +320.475      +51.5272      -1671.61      -272.54       +1517.3       -1944.15      -426.848      
35            35            +286.757      +852.228      +326.91       +55.3821      -1755.38      -295.163      +1521.28      -2050.55      -529.268      
36            36            +296.147      +847.842      +332.676      +49.5315      -1795.79      -282.287      +1526.2       -2078.08      -551.883      
37            37            +245.905      +875.046      +337.288      +49.9486      -1799.62      -255.966      +1508.19      -2055.58      -547.394      
38            38            +274.23       +875.652      +356.893      +46.3735      -1785.58      -250.816      +1553.15      -2036.39      -483.244      
39            39            +271.109      +866.068      +317.934      +45.4709      -1783.55      -257.732      +1500.58      -2041.29      -540.705      
40            40            +265.466      +870.12       +347.068      +46.5866      -1750.04      -254.602      +1529.24      -2004.65      -475.407      
41            41            +267.494      +882.613      +340.525      +55.1509      -1720.57      -280.47       +1545.78      -2001.04      -455.259      
42            42            +299.838      +885.134      +346.972      +52.3009      -1735.8       -265.408      +1584.25      -2001.21      -416.967      
43            43            +298.067      +857.951      +334.878      +51.249       -1713.39      -276.861      +1542.14      -1990.25      -448.104      
44            44            +281.616      +882.279      +331.787      +48.6416      -1644.09      -281.749      +1544.32      -1925.84      -381.518      
45            45            +318.403      +889.7        +353.296      +68.0933      -1654.97      -262.468      +1629.49      -1917.44      -287.949      
46            46            +267.534      +842.446      +321.298      +58.712       -1663.73      -261.812      +1489.99      -1925.54      -435.554      
47            47            +285.73       +888.079      +321.222      +51.6161      -1647.8       -253.452      +1546.65      -1901.25      -354.601      
48            48            +302.408      +841.598      +339.683      +44.854       -1737.49      -264.29       +1528.54      -2001.78      -473.234      
49            49            +287.135      +902.639      +348.334      +67.4925      -1707.17      -269.706      +1605.6       -1976.87      -371.271      
50            50            +283.962      +850.391      +320.826      +45.8573      -1698.95      -274.132      +1501.04      -1973.08      -472.049      
51            51            +285.156      +837.457      +342.778      +54.9769      -1687.14      -276.946      +1520.37      -1964.08      -443.717      
52            52            +281.967      +852.089      +316.591      +54.2843      -1784.53      -255.35       +1504.93      -2039.88      -534.95       
53            53            +263.897      +888.955      +348.266      +50.6911      -1763.13      -286.604      +1551.81      -2049.73      -497.923      
54            54            +290.1        +859.454      +332.384      +53.6359      -1788.18      -247.112      +1535.57      -2035.29      -499.713      
55            55            +299.613      +848.626      +337.632      +42.6202      -1775.71      -270.826      +1528.49      -2046.54      -518.046      
56            56            +287.271      +860.96       +333.438      +55.9555      -1676.48      -271.663      +1537.62      -1948.14      -410.52       
57            57            +292.916      +888.457      +339.694      +54.8926      -1610.26      -268.788      +1575.96      -1879.05      -303.092      
58            58            +258.322      +854.359      +332.983      +61.8678      -1653.79      -266.817      +1507.53      -1920.6       -413.073      
59            59            +284.906      +822.105      +335.968      +53.4029      -1737.92      -265.191      +1496.38      -2003.11      -506.73       
60            60            +284.217      +836.672      +343.637      +46.7557      -1625.83      -280.939      +1511.28      -1906.77      -395.487      
61            61            +309.384      +893.008      +337.452      +49.9657      -1728.42      -278.24       +1589.81      -2006.66      -416.849      
62            62            +302.622      +848.563      +353.488      +53.1375      -1713.67      -277.834      +1557.81      -1991.5       -433.694      
63            63            +286.433      +851.409      +352.933      +55.7311      -1691.44      -275.401      +1546.51      -1966.84      -420.335      
64            64            +294.28       +803.413      +330.77       +49.2306      -1796.15      -251.777      +1477.69      -2047.92      -570.229      
65            65            +291.623      +875.856      +337.694      +45.341       -1760.38      -286.343      +1550.51      -2046.72      -496.207      
66            66            +268.197      +860.691      +339.362      +56.4004      -1749.97      -284.455      +1524.65      -2034.43      -509.777      
67            67            +282.152      +866.765      +336.531      +51.646       -1783.15      -250.137      +1537.09      -2033.29      -496.197      
68            68            +280.368      +858.153      +333.385      +51.6547      -1760.01      -267.059      +1523.56      -2027.06      -503.504      
69            69            +283.766      +878.872      +340.033      +61.8754      -1821.64      -289.329      +1564.55      -2110.97      -546.426      
70            70            +282.407      +866.742      +328.961      +43.3948      -1775.64      -278.377      +1521.5       -2054.01      -532.509      
71            71            +273.914      +843.072      +340.093      +59.845       -1741.44      -243.923      +1516.92      -1985.36      -468.437      
72            72            +300.342      +860.876      +328.695      +49.8979      -1704.46      -255.407      +1539.81      -1959.87      -420.057      
73            73            +305.434      +832.676      +344.312      +60.1736      -1680.89      -280.954      +1542.6       -1961.85      -419.25       
74            74            +290.433      +888.447      +335.142      +66.8842      -1806.66      -261.972      +1580.91      -2068.64      -487.729      
75            75            +288.827      +868.127      +331.579      +46.5901      -1795.05      -276.04       +1535.12      -2071.09      -535.971      
76            76            +295.092      +811.903      +355.829      +43.5283      -1769.12      -271.883      +1506.35      -2041.01      -534.654      
