Frame         Time          Bond          Angle         Dihed         Impr          Elec          VdW           Conf          Nonbond       Total         
0             0             +197.876      +566.501      +303.255      +30.3171      -1881.75      -282.91       +1097.95      -2164.66      -1066.71      
1             1             +191.968      +617.562      +308.544      +33.6109      -1869.89      -279.108      +1151.69      -2149         -997.312      
2             2             +192.429      +644.284      +316.348      +32.4926      -1891.28      -283.525      +1185.55      -2174.81      -989.253      
3             3             +217.444      +609.056      +310.369      +38.3054      -1865.26      -293.517      +1175.17      -2158.78      -983.603      
4             4             +205.842      +659.581      +311.505      +35.9244      -1879.63      -279.91       +1212.85      -2159.54      -946.683      
5             5             +188.334      +651.663      +305.031      +46.7799      -1838.58      -271.31       +1191.81      -2109.89      -918.085      
6             6             +241.976      +642.939      +293.975      +40.6838      -1860.08      -267.09       +1219.57      -2127.17      -907.596      
7             7             +230.708      +694.265      +279.015      +35.3579      -1859.39      -298.794      +1239.35      -2158.18      -918.835      
8             8             +224.26       +690.606      +297.516      +44.9518      -1898.3       -312.298      +1257.33      -2210.6       -953.267      
9             9             +232.358      +698.217      +296.535      +43.0582      -1853.72      -297.33       +1270.17      -2151.05      -880.887      
